gisco_id,lau_name,longitude,latitude
AL_AL111,Bulqizë,20.25690344048131,41.50108561760159
AL_AL112,Dibër,20.427767574578958,41.68069780995538
AL_AL113,Klos,20.06813214362897,41.52102998477764
AL_AL114,Mat,20.008799857718767,41.608874452246845
AL_AL121,Durrës,19.4584382919551,41.32576047697046
AL_AL122,Krujë,19.7441921617173,41.494302091398346
AL_AL123,Shijak,19.55802987298318,41.349207476046274
AL_AL131,Has,20.4085218370314,42.196797090820965
AL_AL132,Kukës,20.42545562246344,42.06996444747112
AL_AL133,Tropojë,20.078668606502468,42.35818791266815
AL_AL141,Kurbin,19.70809688086548,41.6246984917528
AL_AL142,Lezhë,19.64372510896458,41.77916935641832
AL_AL143,Mirditë,19.87678294240272,41.7709881352124
AL_AL151,Fushë Arrës,20.033235928563464,42.07691235483378
AL_AL152,Malësi e Madhe,19.463129475372764,42.209221540698074
AL_AL153,Pukë,19.904499905454365,42.039348036266205
AL_AL154,Shkodër,19.51247019373934,42.0671893786964
AL_AL155,Vau i Dejës,19.582609085112814,41.970902922267
AL_AL211,Belsh,19.88724953587829,40.94758921816052
AL_AL212,Cërrik,20.001118896396047,40.997558183475675
AL_AL213,Elbasan,20.081481938449997,41.11386675730253
AL_AL214,Gramsh,20.18443686439388,40.86989533755306
AL_AL215,Librazhd,20.31718238993152,41.18224076961683
AL_AL216,Peqin,19.772013228803974,41.04694039777152
AL_AL217,Prrenjas,20.539411378990774,41.06858023168166
AL_AL221,Kamëz,19.801071882048916,41.35883872890238
AL_AL222,Kavajë,19.556901266473307,41.18354205626601
AL_AL223,Rrogozhinë,19.646271515252593,41.0834580732597
AL_AL224,Tiranë,19.813990714863532,41.331295641647735
AL_AL225,Vorë,19.70742746078284,41.37902345939991
AL_AL311,Berat,19.95713468668232,40.70576750965594
AL_AL312,Kuçovë,19.910540674549175,40.80064991049848
AL_AL313,Poliçan,20.08981278336596,40.61776174892935
AL_AL314,Skrapar,20.228499721872602,40.5046679036098
AL_AL315,Ura Vajgurore,19.82278722812571,40.78308181500673
AL_AL321,Divjakë,19.581264216105374,40.99158780988501
AL_AL322,Fier,19.558228606079407,40.72707824885753
AL_AL323,Lushnje,19.704771017800475,40.93431086524786
AL_AL324,Mallakastër,19.73791241932142,40.595326409499044
AL_AL325,Roskovec,19.711535771817363,40.74007111071539
AL_AL326,Patos,19.624161156030194,40.68384057496928
AL_AL331,Dropull,20.21159713877738,40.01152591208486
AL_AL332,Gjirokastër,20.140664087609885,40.07962172921275
AL_AL333,Këlcyrë,20.1879176376099,40.317388625840735
AL_AL334,Libohovë,20.2617920538522,40.032550896682395
AL_AL335,Përmet,20.354181663435465,40.233519333603475
AL_AL336,Tepelenë,20.01834528735403,40.29534472322918
AL_AL337,Memaliaj,19.972545380705846,40.36101450312832
AL_AL341,Devoll,20.97088807797333,40.6231204177592
AL_AL342,Kolonjë,20.659184711362755,40.295145866664356
AL_AL343,Korçë,20.777818193819346,40.61542510772286
AL_AL344,Maliq,20.761909207673103,40.73758698490808
AL_AL345,Pogradec,20.658634688738868,40.8992112917535
AL_AL346,Pustec,20.910539850036887,40.82940767754005
AL_AL351,Delvinë,20.08934638672383,39.95026842342394
AL_AL352,Himarë,19.74202261139735,40.104836526341
AL_AL353,Konispol,20.109213276517426,39.69794653363439
AL_AL354,Finiq,20.060322702776208,39.86193631474271
AL_AL355,Sarandë,20.004829480754843,39.87117331566921
AL_AL356,Selenicë,19.625558554439156,40.45936820088374
AL_AL357,Vlorë,19.487193149133706,40.46604035579701
