gisco_id,lau_name,longitude,latitude
FR_01001,Abergement-Clémenciat,4.921337162646214,46.148119506005074
FR_01002,Abergement-de-Varey,5.4272470355338855,46.01495347256464
FR_01004,Ambérieu-en-Bugey,5.349237991451527,45.95869918338855
FR_01005,Ambérieux-en-Dombes,4.90703545247761,45.995563684594465
FR_01006,Ambléon,5.604798170119878,45.74517887462352
FR_01007,Ambronay,5.361314103551733,46.00098155949745
FR_01008,Ambutrix,5.3350010268615575,45.943378457212084
FR_01009,Andert-et-Condon,5.658633586184164,45.79474119621079
FR_01010,Anglefort,5.809493617293143,45.91340334855112
FR_01011,Apremont,5.6624933548460525,46.207857003626394
FR_01012,Aranc,5.506654381878069,46.00993498706746
FR_01013,Arandas,5.48162319656918,45.89519216676352
FR_01014,Arbent,5.665155873021085,46.27250786073313
FR_01015,Arboys en Bugey,5.661867831236406,45.72286037821344
FR_01016,Arbigny,4.9665207241018905,46.47084239238794
FR_01017,Argis,5.493311748784826,45.935975251956016
FR_01019,Armix,5.581472841251446,45.84950787340506
FR_01021,Ars-sur-Formans,4.8196432209274045,45.99492632430991
FR_01022,Artemare,5.695106747077847,45.87261752245442
FR_01023,Asnières-sur-Saône,4.866492823234718,46.37590706930149
FR_01024,Attignat,5.161876279827572,46.28433085034119
FR_01025,Bâgé-Dommartin,4.9359393983321285,46.31487146808596
FR_01026,Bâgé-le-Châtel,4.931873552744392,46.307795332902494
FR_01027,Balan,5.106664914305253,45.83881533765053
FR_01028,Baneins,4.901293740128978,46.109828850394756
FR_01029,Beaupont,5.248501952885721,46.43124389323233
FR_01030,Beauregard,4.753545412353425,45.99676748747329
FR_01031,Bellignat,5.634218345288452,46.25574929798925
FR_01032,Béligneux,5.124653108177665,45.85204690191277
FR_01033,Valserhône,5.8187487667211935,46.11339484746273
FR_01034,Belley,5.688532311465887,45.75613541059426
FR_01035,Belleydoux,5.777259469277797,46.25377732960428
FR_01036,Valromey-sur-Séran,5.697880666035026,45.876241168915286
FR_01037,Bénonces,5.477406761782405,45.82605702338718
FR_01038,Bény,5.2811429880399015,46.32374333983313
FR_01039,Béon,5.762323135679118,45.85188807942856
FR_01040,Béréziat,5.040818336156249,46.36887993453574
FR_01041,Bettant,5.3634479261614505,45.94512499011542
FR_01042,Bey,4.838700954091792,46.2214191350289
FR_01043,Beynost,4.995843172383576,45.83421385226497
FR_01044,Billiat,5.781106271005623,46.07757914570409
FR_01045,Birieux,5.043214424189936,45.95232237816199
FR_01046,Biziat,4.940809408340485,46.21965657481927
FR_01047,Blyes,5.245164213922778,45.847268358292624
FR_01049,Boisse,5.042768400689579,45.84390011514941
FR_01050,Boissey,4.9935535515674685,46.37962935744387
FR_01051,Bolozon,5.453194780360259,46.208968028785826
FR_01052,Bouligneux,5.020477766400588,46.00834016645117
FR_01053,Bourg-en-Bresse,5.227658516668912,46.20422223884993
FR_01054,Bourg-Saint-Christophe,5.154063873402975,45.88652343132605
FR_01056,Boyeux-Saint-Jérôme,5.451341768545478,46.03458040036246
FR_01057,Boz,4.915178762786202,46.402940518135
FR_01058,Brégnier-Cordon,5.614897085182343,45.65001341624904
FR_01060,Brénod,5.602404649851148,46.058458126312765
FR_01061,Brens,5.689346820407712,45.719552045478906
FR_01062,Bressolles,5.083487449991054,45.859199360472644
FR_01063,Brion,5.5608258796119845,46.16888171421119
FR_01064,Briord,5.461159018026198,45.78522509889237
FR_01065,Buellas,5.149165163944176,46.19963208930137
FR_01066,Burbanche,5.547747273063598,45.84282317481315
FR_01067,Ceignes,5.483248565430175,46.12261720192916
FR_01068,Cerdon,5.46822694621997,46.08014359898824
FR_01069,Certines,5.265418952286594,46.145531803470824
FR_01071,Cessy,6.06407089009225,46.325093371094106
FR_01072,Ceyzériat,5.3212554901004,46.18046065643169
FR_01073,Ceyzérieu,5.711829941647224,45.83284056073356
FR_01074,Chalamont,5.168603012399133,45.994521483545775
FR_01075,Chaleins,4.783736955849435,46.02859470964964
FR_01076,Chaley,5.536006920747474,45.95604657044573
FR_01077,Challes-la-Montagne,5.463026439385256,46.12605523570603
FR_01078,Challex,5.976157626879461,46.16532539418495
FR_01079,Champagne-en-Valromey,5.680119389071362,45.909452650685566
FR_01080,Champdor-Corcelles,5.590501044247122,46.01959563108544
FR_01081,Champfromier,5.8130683135012,46.19283683103536
FR_01082,Chanay,5.786987087866922,46.0029242396507
FR_01083,Chaneins,4.854879480570926,46.09429204015449
FR_01084,Chanoz-Châtenay,5.033055675396694,46.18567250361482
FR_01085,Chapelle-du-Châtelard,5.021997715527597,46.067910223752946
FR_01087,Charix,5.679231151454098,46.18694722304657
FR_01088,Charnoz-sur-Ain,5.2261974036649415,45.869264841969986
FR_01089,Château-Gaillard,5.320508796609613,45.96046311974649
FR_01090,Châtenay,5.206505091925933,46.02845984262297
FR_01092,Châtillon-la-Palud,5.2532442728429745,45.97298447405949
FR_01093,Châtillon-sur-Chalaronne,4.9602463421139165,46.118026082068205
FR_01094,Chavannes-sur-Reyssouze,4.990001131164989,46.43424080039357
FR_01095,Nivigne et Suran,5.428858372150076,46.27265982565336
FR_01096,Chaveyriat,5.056301962610112,46.199912152323954
FR_01098,Chazey-Bons,5.684410769000682,45.79713705056684
FR_01099,Chazey-sur-Ain,5.261636147430282,45.8948082152796
FR_01100,Cheignieu-la-Balme,5.607846660137548,45.823160277222065
FR_01101,Chevillard,5.581852639483953,46.11114744364078
FR_01102,Chevroux,4.956308322916749,46.38300754243527
FR_01103,Chevry,6.0396448458677225,46.28271373561699
FR_01104,Chézery-Forens,5.851725944738645,46.21026260695126
FR_01105,Civrieux,4.88333898341235,45.92186502956833
FR_01106,Cize,5.443565252095734,46.20374554940121
FR_01107,Cleyzieu,5.4324572710651795,45.908054670454675
FR_01108,Coligny,5.342453195241292,46.38171429594576
FR_01109,Collonges,5.906330910835859,46.14160584637779
FR_01110,Colomieu,5.630156149682751,45.73033338261971
FR_01111,Conand,5.476007863647336,45.893021025704385
FR_01112,Condamine,5.54668063439947,46.108605604610794
FR_01113,Condeissiat,5.077252004815082,46.158626547145026
FR_01114,Confort,5.810212111516873,46.14405241916273
FR_01115,Confrançon,5.058625351146115,46.26173654912399
FR_01116,Contrevoz,5.629021070061396,45.80300131257966
FR_01117,Conzieu,5.607593255375997,45.733061270835385
FR_01118,Corbonod,5.827145048561152,45.961637828913176
FR_01121,Corlier,5.501477116377907,46.02728772734969
FR_01123,Cormoranche-sur-Saône,4.8398914606116055,46.24357755927642
FR_01124,Cormoz,5.231014514079652,46.44461506879527
FR_01125,Corveissiat,5.481239577034306,46.242354706019945
FR_01127,Courmangoux,5.365579483793322,46.326431305072816
FR_01128,Courtes,5.092130857939236,46.46017057518194
