gisco_id,lau_name,longitude,latitude
IE_01310400,Carlow,-6.921918549056282,52.83457109195269
IE_01310401,Tullow,-6.723530107640747,52.78487638065482
IE_01310402,Muinebeag,-6.958827500599032,52.670565507440635
IE_01320400,Cavan-Belturbet,-7.384599889347939,54.009328470728484
IE_01320401,Bailieborough-Cootehill,-6.949722685801703,53.95072514329217
IE_01320402,Ballyjamesduff,-7.159506514099245,53.8532315129824
IE_01330400,Ennistimon,-9.254361017833372,52.94732243791716
IE_01330401,Killaloe,-8.610286526430674,52.815598847355076
IE_01330402,Shannon,-8.749518151077968,52.70011847586841
IE_01330403,Ennis,-8.983257019889876,52.844522994071994
IE_01330404,Kilrush,-9.43386350427795,52.67685272780898
IE_01340400,Kanturk,-8.807089545443874,52.27301960356879
IE_01340401,Fermoy,-8.292418747490292,52.166736716631824
IE_01340402,Midleton,-8.092910886928715,51.91753846657354
IE_01340403,Carrigaline,-8.434622413771846,51.84040567530822
IE_01340404,Cobh,-8.334177883506165,51.889208958738244
IE_01340405,Bandon-Kinsale,-8.658699222089467,51.731819351518304
IE_01340406,Bantry-West Cork,-9.511217381138453,51.66321170588073
IE_01340407,Skibbereen-West Cork,-9.009474094843288,51.614895892798415
IE_01340408,Macroom,-8.640028003381326,51.89313107815507
IE_01340409,Mallow,-8.648493349828085,52.13527027467104
IE_01340410,Cork City North West,-8.483804330459932,51.90718307246602
IE_01340411,Cork City North East,-8.451216996817037,51.91120157497666
IE_01340412,Cork City South East,-8.435677868930968,51.88435130593329
IE_01340413,Cork City South Central,-8.476735574354855,51.892935865423745
IE_01340414,Cork City South West,-8.48826153111734,51.878528646981195
IE_01350400,Glenties,-8.262074642305508,54.99125692505843
IE_01350401,Milford,-7.688829645498187,55.069413999193635
IE_01350402,Carndonagh,-7.2006956548772365,55.237280347448525
IE_01350403,Buncrana,-7.420393302003387,55.10090349721905
IE_01350404,Donegal,-8.18004540180469,54.586499924696135
IE_01350405,Letterkenny,-7.7350484674375926,54.95973858667322
IE_01350406,Lifford-Stranorlar,-7.604943689044767,54.82300965353859
IE_01360400,Conamara North,-9.72807694030669,53.4627974689892
IE_01360401,Tuam,-8.864415683971611,53.51186281197908
IE_01360402,Ballinasloe,-8.259531735586114,53.354975444974954
IE_01360403,Loughrea,-8.523283816950205,53.18910439068668
IE_01360404,Athenry-Oranmore,-8.892768634531615,53.29300969870822
IE_01360405,Gort-Kinvara,-8.871084942273198,53.170564329133526
IE_01360406,Conamara South,-9.191495263785708,53.27891927804365
IE_01360420,Galway City West,-9.093552862875312,53.27001760097884
IE_01360421,Galway City Central,-9.064647120281228,53.277473704471035
IE_01360422,Galway City East,-9.016715744055865,53.28308741367483
IE_01370400,Listowel,-9.503755415313737,52.44251512574767
IE_01370401,Castleisland,-9.469464925987584,52.22126670232507
IE_01370402,Killarney,-9.49884730622385,52.059517135911705
IE_01370403,Kenmare,-9.787363491925534,51.99340519419978
IE_01370404,Corca Dhuibhne,-10.024083869153293,52.15365254919472
IE_01370405,Tralee,-9.703647764878927,52.27279006034259
IE_01380400,Maynooth,-6.61568250626647,53.37987328521343
IE_01380401,Celbridge,-6.539182268496892,53.34514317925803
IE_01380402,Naas,-6.649275678412989,53.227641800257175
IE_01380403,Athy,-6.9652173407965146,52.99376457537847
IE_01380404,Kildare,-6.940349053896696,53.16281132118593
IE_01380405,Clane,-6.725576099427135,53.28713010513595
IE_01380406,Leixlip,-6.501800734829465,53.36615012789637
IE_01380407,Newbridge,-6.79827877408525,53.17362439123007
IE_01390400,Castlecomer,-7.283816649489998,52.74181553136727
IE_01390401,Kilkenny,-7.2481336012456286,52.65428293143068
IE_01390402,Piltown,-7.116791022594041,52.269637383115814
IE_01390403,Callan-Thomastown,-7.134037864650336,52.51072669729623
IE_13100400,Borris-In-Ossory-Mountmellick,-7.380889184351993,53.06608143585933
IE_13100401,Portlaoise,-7.29205207888246,53.038067268285396
IE_13100402,Graiguecullen -Portarlington,-7.028436103921354,52.94877951985361
IE_13110400,Manorhamilton,-8.23732509389202,54.32822476403753
IE_13110401,Ballinamore,-7.882165863163575,54.0378212687737
IE_13110402,Carrick-On-Shannon,-8.044449735861226,53.938646925578865
IE_13120400,Newcastle West,-9.086199231802885,52.444132762146374
IE_13120401,Adare-Rathkeale,-8.831520130115937,52.558455158474615
IE_13120402,Cappamore-Kilmallock,-8.462181621668053,52.52042675599837
IE_13120420,Limerick City West,-8.635890109399469,52.64894917730477
