gisco_id,lau_name,longitude,latitude
IS_0000,Reykjavíkurborg,-21.872495568716243,64.12800884064625
IS_1000,Kópavogsbær,-21.865011734605076,64.10403762541307
IS_1100,Seltjarnarnesbær,-21.985817954983204,64.14907178257533
IS_1300,Garðabær,-21.92234720581589,64.08739760519653
IS_1400,Hafnarfjarðarkaupstaður,-21.958436678147667,64.0630683312582
IS_1604,Mosfellsbær,-21.709673571723016,64.16651230757321
IS_1606,Kjósarhreppur,-21.6641379106214,64.31303487765034
IS_2000,Reykjanesbær,-22.559604661639057,63.994474222105644
IS_2300,Grindavíkurbær,-22.439436149314965,63.84349724708158
IS_2506,Sveitarfélagið Vogar,-22.37869717370353,63.97871547049179
IS_2510,Suðurnesjabær,-22.595520927866044,64.01638732115248
IS_3000,Akraneskaupstaður,-22.06162996539904,64.3189587427636
IS_3506,Skorradalshreppur,-21.620555113161792,64.5347132913839
IS_3511,Hvalfjarðarsveit,-22.02597206667385,64.31398676198907
IS_3609,Borgarbyggð,-21.891453369630376,64.55931146616864
IS_3709,Grundarfjarðarbær,-23.268347208703887,64.9230216228944
IS_3710,Helgafellssveit,-22.73291101010086,65.01184410053978
IS_3711,Stykkishólmsbær,-22.72642130036496,65.0728265843004
IS_3713,Eyja- og Miklaholtshreppur,-22.584992829253704,64.86882517735033
IS_3714,Snæfellsbær,-23.7444056981269,64.89567717971127
IS_3811,Dalabyggð,-21.740695258202066,65.07150902550504
IS_4100,Bolungarvíkurkaupstaður,-23.257138310716556,66.15741239794957
IS_4200,Ísafjarðarbær,-23.161891994941318,66.06677493501566
IS_4502,Reykhólahreppur,-22.300302911384705,65.47093981585066
IS_4604,Tálknafjarðarhreppur,-23.820869385207583,65.6259510297522
IS_4607,Vesturbyggð,-23.866557717027536,65.58456898513838
IS_4803,Súðavíkurhreppur,-22.992756975849318,66.02400147122671
IS_4901,Árneshreppur,-21.55564774417186,66.04751922744484
IS_4902,Kaldrananeshreppur,-21.43762381905243,65.69109021008525
IS_4911,Strandabyggð,-21.688153156763203,65.6996399492785
IS_5200,Sveitarfélagið Skagafjörður,-19.608268279080143,65.73694498359205
IS_5508,Húnaþing vestra,-20.981285623262895,65.35876915195573
IS_5604,Blönduóssbær,-20.287308364652848,65.66216316500578
IS_5609,Sveitarfélagið Skagaströnd,-20.300331179289063,65.82360873734974
IS_5611,Skagabyggð,-20.262870329076442,65.78884365944431
IS_5612,Húnavatnshreppur,-20.076037648024677,65.47928655045445
IS_5706,Akrahreppur,-18.817492194624958,65.32054008951435
IS_6000,Akureyrarkaupstaður,-18.1169776356431,65.6815237732674
IS_6100,Norðurþing,-17.31845599127948,66.03737055936918
IS_6250,Fjallabyggð,-18.781424547979462,66.11156863475271
IS_6400,Dalvíkurbyggð,-18.52589689257205,65.96937113892504
IS_6513,Eyjafjarðarsveit,-18.195470336128682,65.60153264542738
IS_6515,Hörgársveit,-18.265875063418648,65.65276007523731
IS_6601,Svalbarðsstrandarhreppur,-18.03277034674869,65.74096839342249
IS_6602,Grýtubakkahreppur,-18.175884002564935,65.95142529483977
IS_6607,Skútustaðahreppur,-16.909798988960148,65.64024642767924
IS_6611,Tjörneshreppur,-17.147619877996295,66.11400318816992
IS_6612,Þingeyjarsveit,-17.341353695949977,65.82563166721917
IS_6706,Svalbarðshreppur,-15.408874268128518,66.14872822983571
IS_6709,Langanesbyggð,-15.320519666397864,66.19221603845249
IS_7000,Seyðisfjarðarkaupstaður,-14.00133774645132,65.26302398230874
IS_7300,Fjarðabyggð,-13.938579013952895,65.07100670307237
IS_7502,Vopnafjarðarhreppur,-14.833515734570819,65.75399764693185
IS_7505,Fljótsdalshreppur,-15.024658082307036,65.05162940994039
IS_7509,Borgarfjarðarhreppur,-13.817208380085008,65.52637828363189
IS_7617,Djúpavogshreppur,-14.2629793032572,64.66040311524829
IS_7620,Fljótsdalshérað,-14.397817700781161,65.26727949271525
IS_7708,Sveitarfélagið Hornafjörður,-15.21001212149599,64.2606986648112
IS_8000,Vestmannaeyjabær,-20.277684448554076,63.43552548001151
IS_8200,Sveitarfélagið Árborg,-21.000694341601342,63.923393138158296
IS_8508,Mýrdalshreppur,-18.98038463141576,63.418383105417405
IS_8509,Skaftárhreppur,-18.508484512510023,63.747215511396035
IS_8610,Ásahreppur,-20.575415403739733,63.87589074186172
IS_8613,Rangárþing eystra,-20.224906408306435,63.74007713643934
IS_8614,Rangárþing ytra,-20.413485827110964,63.82598637641036
IS_8710,Hrunamannahreppur,-20.333754231732556,64.13401364182776
IS_8716,Hveragerðisbær,-21.20151757613304,64.00182002686552
IS_8717,Sveitarfélagið Ölfus,-21.337291027609307,63.90672395795573
IS_8719,Grímsnes- og Grafningshreppur,-20.876495572193885,64.20314082477151
IS_8720,Skeiða- og Gnúpverjahreppur,-19.34831797621047,64.41327829220766
IS_8721,Bláskógabyggð,-20.66195757384362,64.1919835369852
IS_8722,Flóahreppur,-20.813676938917716,63.899230777297035
